Room No,Name,Roll No,Status
101,Sakshi Jain,B23CS4400,occupied
102,,,available
103,,,available
104,Shreya Mehta,B23CS4403,occupied
105,,,available
106,Ravi Reddy,B23CS4405,occupied
107,Aarav Jain,B23CS4406,occupied
108,,,available
109,Priya Yadav,B23CS4408,occupied
110,,,available
111,Kabir Kapoor,B23CS4410,occupied
112,,,available
113,,,available
114,,,available
115,,,available
116,Sneha Das,B23CS4415,occupied
117,,,available
118,,,available
119,Rahul Nair,B23CS4418,occupied
120,,,available
121,Nisha Aggarwal,B23CS4420,occupied
122,,,available
123,,,available
124,Divya Nair,B23CS4423,occupied
125,,,available
126,Ravi Mehta,B23CS4425,occupied
127,,,available
128,Kiran Verma,B23CS4427,occupied
129,Aarav Thakur,B23CS4428,occupied
130,Ishaan Mehta,B23CS4429,occupied
131,Nisha Gupta,B23CS4430,occupied
132,,,available
133,Aarav Singh,B23CS4432,occupied
134,,,available
135,Vikram Iyer,B23CS4434,occupied
136,Anjali Nair,B23CS4435,occupied
137,Aarav Singh,B23CS4436,occupied
138,Kiran Nair,B23CS4437,occupied
139,Vikram Aggarwal,B23CS4438,occupied
140,,,available
141,,,available
142,,,available
143,Rohan Patel,B23CS4442,occupied
144,Rohan Kapoor,B23CS4443,occupied
145,,,available
146,,,available
147,,,available
148,Anjali Singh,B23CS4447,occupied
149,,,available
150,,,available
151,Nisha Jain,B23CS4450,occupied
152,,,available
153,,,available
154,,,available
155,Nisha Iyer,B23CS4454,occupied
156,,,available
157,,,available
158,,,available
159,,,available
160,,,available
161,Ravi Aggarwal,B23CS4460,occupied
162,Aarav Iyer,B23CS4461,occupied
163,Arjun Jain,B23CS4462,occupied
164,Ishaan Nambiar,B23CS4463,occupied
165,,,available
166,Rohan Yadav,B23CS4465,occupied
167,Shreya Kumar,B23CS4466,occupied
168,,,available
169,Rohit Nambiar,B23CS4468,occupied
170,Rohan Menon,B23CS4469,occupied
171,Aman Das,B23CS4470,occupied
172,Kabir Saxena,B23CS4471,occupied
173,Arjun Thakur,B23CS4472,occupied
174,,,available
175,,,available
176,Divya Yadav,B23CS4475,occupied
177,,,available
178,,,available
179,Nisha Aggarwal,B23CS4478,occupied
180,,,available
181,Shreya Saxena,B23CS4480,occupied
182,Divya Chopra,B23CS4481,occupied
183,,,available
184,Meera Iyer,B23CS4483,occupied
185,,,available
186,,,available
187,,,available
188,Nisha Nair,B23CS4487,occupied
189,,,available
190,,,available
191,Kabir Saxena,B23CS4490,occupied
192,,,available
193,Aarav Patel,B23CS4492,occupied
194,Shreya Mehta,B23CS4493,occupied
195,Sakshi Aggarwal,B23CS4494,occupied
196,Sneha Kapoor,B23CS4495,occupied
197,Nisha Thakur,B23CS4496,occupied
198,,,available
199,,,available
200,,,available
201,,,available
202,Aman Aggarwal,B23CS4501,occupied
203,,,available
204,,,available
205,,,available
206,Aarav Nair,B23CS4505,occupied
207,,,available
208,,,available
209,Aarav Chopra,B23CS4508,occupied
210,Rahul Patel,B23CS4509,occupied
211,,,available
212,Kabir Jain,B23CS4511,occupied
213,,,available
214,,,available
215,,,available
216,Meera Gupta,B23CS4515,occupied
217,Divya Thakur,B23CS4516,occupied
218,Sakshi Yadav,B23CS4517,occupied
219,,,available
220,Vikram Nair,B23CS4519,occupied
221,,,available
222,,,available
223,,,available
224,Sneha Reddy,B23CS4523,occupied
225,,,available
226,Divya Gupta,B23CS4525,occupied
227,,,available
228,Divya Verma,B23CS4527,occupied
229,,,available
230,Aarav Das,B23CS4529,occupied
231,Aarav Yadav,B23CS4530,occupied
232,,,available
233,,,available
234,,,available
235,Vikram Jain,B23CS4534,occupied
236,,,available
237,,,available
238,,,available
239,Kiran Patel,B23CS4538,occupied
240,,,available
241,,,available
242,Sakshi Menon,B23CS4541,occupied
243,Arjun Iyer,B23CS4542,occupied
244,,,available
245,Rahul Nambiar,B23CS4544,occupied
246,Shreya Patel,B23CS4545,occupied
247,,,available
248,,,available
249,Ishaan Nambiar,B23CS4548,occupied
250,,,available
251,Aarav Jain,B23CS4550,occupied
252,Arjun Singh,B23CS4551,occupied
253,,,available
254,,,available
255,Rahul Saxena,B23CS4554,occupied
256,Aman Chopra,B23CS4555,occupied
257,,,available
258,Arjun Aggarwal,B23CS4557,occupied
259,,,available
260,,,available
261,Arjun Nambiar,B23CS4560,occupied
262,Shreya Thakur,B23CS4561,occupied
263,,,available
264,Rahul Patel,B23CS4563,occupied
265,Aarav Gupta,B23CS4564,occupied
266,Rahul Jain,B23CS4565,occupied
267,Meera Verma,B23CS4566,occupied
268,,,available
269,Divya Kumar,B23CS4568,occupied
270,,,available
271,Riya Verma,B23CS4570,occupied
272,Kabir Kumar,B23CS4571,occupied
273,,,available
274,,,available
275,,,available
276,,,available
277,,,available
278,Riya Sharma,B23CS4577,occupied
279,Shreya Verma,B23CS4578,occupied
280,,,available
281,Divya Das,B23CS4580,occupied
282,Kiran Nambiar,B23CS4581,occupied
283,,,available
284,Divya Thakur,B23CS4583,occupied
285,Rohit Kumar,B23CS4584,occupied
286,,,available
287,Meera Kumar,B23CS4586,occupied
288,,,available
289,Vikram Yadav,B23CS4588,occupied
290,,,available
291,Shreya Saxena,B23CS4590,occupied
292,Priya Patel,B23CS4591,occupied
293,,,available
294,,,available
295,Arjun Saxena,B23CS4594,occupied
296,,,available
297,Riya Reddy,B23CS4596,occupied
298,Nisha Yadav,B23CS4597,occupied
299,,,available
300,,,available
